parameter,sparsity,loss,top1_acc
layer4.0.downsample.0,0.7000000000000001,0.7126860307693481,0.7856000065803528
layer4.0.downsample.0,0.75,0.7116012460708618,0.7858999967575073
layer4.0.downsample.0,0.8,0.7103085489273071,0.7845999598503113
layer4.0.downsample.0,0.8500000000000001,0.7148422750473022,0.781499981880188
layer4.0.downsample.0,0.9,0.7129500896453858,0.7800999879837036
layer4.0.downsample.0,0.9500000000000001,0.7277884172439575,0.7732999920845032
layer4.1.conv1,0.0,0.7166622844696044,0.7874999642372131
layer4.1.conv1,0.05,0.7166487272262573,0.7874999642372131
layer4.1.conv1,0.1,0.7166682022094727,0.7874999642372131
layer4.1.conv1,0.15000000000000002,0.71661747341156,0.7874999642372131
layer4.1.conv1,0.2,0.7167162645339966,0.7875999808311462
layer4.1.conv1,0.25,0.7163660890579223,0.7875999808311462
layer4.1.conv1,0.30000000000000004,0.7162860742568969,0.7878999710083008
layer4.1.conv1,0.35000000000000003,0.7159057889938355,0.7881999611854553
layer4.1.conv1,0.4,0.7153206279754639,0.7878999710083008
layer4.1.conv1,0.45,0.7147614528656006,0.7878999710083008
layer4.1.conv1,0.5,0.7146702119827271,0.788100004196167
layer4.1.conv1,0.55,0.7142642770767212,0.7876999974250793
layer4.1.conv1,0.6000000000000001,0.713512699508667,0.7872999906539917
layer4.1.conv1,0.65,0.7129332052230835,0.7871999740600586
layer4.1.conv1,0.7000000000000001,0.7113480920791626,0.786899983882904
layer4.1.conv1,0.75,0.7091202444076538,0.7863999605178833
layer4.1.conv1,0.8,0.7058923700332641,0.7872999906539917
layer4.1.conv1,0.8500000000000001,0.6989489652633667,0.7864999771118164
layer4.1.conv1,0.9,0.695393447303772,0.786300003528595
layer4.1.conv1,0.9500000000000001,0.682443483543396,0.7859999537467957
layer4.1.conv2,0.0,0.7166622844696044,0.7874999642372131
layer4.1.conv2,0.05,0.716676488685608,0.7874999642372131
layer4.1.conv2,0.1,0.7166794525146485,0.7875999808311462
layer4.1.conv2,0.15000000000000002,0.7166234075546265,0.7875999808311462
layer4.1.conv2,0.2,0.7165027484893799,0.7876999974250793
layer4.1.conv2,0.25,0.716500509262085,0.7874999642372131
layer4.1.conv2,0.30000000000000004,0.716122301864624,0.7876999974250793
layer4.1.conv2,0.35000000000000003,0.7154877132415771,0.7876999974250793
layer4.1.conv2,0.4,0.715073655128479,0.7874999642372131
layer4.1.conv2,0.45,0.7144842363357544,0.7876999974250793
layer4.1.conv2,0.5,0.7138443866729737,0.7870999574661255
layer4.1.conv2,0.55,0.7128243284225464,0.7874000072479248
layer4.1.conv2,0.6000000000000001,0.7115279027938842,0.7876999974250793
layer4.1.conv2,0.65,0.7102257404327392,0.7870999574661255
layer4.1.conv2,0.7000000000000001,0.7079259113311768,0.7875999808311462
layer4.1.conv2,0.75,0.70513271484375,0.7877999544143677
layer4.1.conv2,0.8,0.7010364407539368,0.788100004196167
layer4.1.conv2,0.8500000000000001,0.6944659990310669,0.7878999710083008
layer4.1.conv2,0.9,0.6836270990371704,0.7874999642372131
layer4.1.conv2,0.9500000000000001,0.6668452163696289,0.7866999506950378
fc,0.0,0.7166622844696044,0.7874999642372131
fc,0.05,0.7166871662139893,0.7876999974250793
fc,0.1,0.7161152273178101,0.7872999906539917
fc,0.15000000000000002,0.7162105958938598,0.7876999974250793
fc,0.2,0.7163825496673584,0.7875999808311462
fc,0.25,0.7108121810913086,0.7881999611854553
fc,0.30000000000000004,0.7118428871154785,0.786899983882904
fc,0.35000000000000003,0.7072689659118653,0.7866999506950378
fc,0.4,0.7011724862098694,0.7874000072479248
fc,0.45,0.6912046542167664,0.7866999506950378
fc,0.5,0.6792557600021363,0.788100004196167
fc,0.55,0.6717842933654785,0.7874000072479248
fc,0.6000000000000001,0.653528553390503,0.7890999913215637
fc,0.65,0.6452352910041809,0.788100004196167
fc,0.7000000000000001,0.6443962790489197,0.7856999635696411
fc,0.75,0.6404889776229858,0.7839999794960022
fc,0.8,0.6551557415008545,0.78329998254776
fc,0.8500000000000001,0.7032852403640747,0.7876999974250793
